u,v,p
1.0246891402893705,-0.1668522573955415,0.2594274031732665
1.2218846486390000,0.0166023075976748,-0.1822780294175565
1.2219375497306997,-0.0168869096063958,-0.1822222486164904
1.0248271146554950,0.1669468772580184,0.2592281600279698
0.0007242272461022,0.0001224163646978,-0.2908057995491065
0.0000480659476199,0.0000951332360138,-0.3242671808226645
0.0004210638066318,0.0007473966897204,-0.3291659649591725
0.0001491881227932,0.0008611792404301,-0.3361793605856735
0.0006009059318507,0.0013704654109264,-0.3592197576626610
0.0005760383259984,0.0012886841201359,-0.3970548659166927
0.0005733954803611,0.0008226381520732,-0.4146746992520266
0.0025917540630312,0.0011441832329721,-0.4370662315847662
0.0013654304796264,0.0000794172462747,-0.4350293550357375
0.0038143867588994,-0.0002331738848164,-0.4755169604288789
0.0083194844497841,-0.0008217870377073,-0.4991418640334906
0.0124913759383288,-0.0015164639423531,-0.5690027170160916
0.0162001331051502,-0.0004509641572607,-0.5411785131357446
0.0157605511604159,-0.0009186567744857,-0.5635595590651123
0.0240113298687095,0.0004619674728062,-0.5799670411192142
0.0169941436834508,0.0018323123712050,-0.5414988285580056
0.0299577729198852,0.0062165789891809,-0.4863601443929151
0.0167218299185486,0.0044657630751392,-0.4312084812916415
0.0351050087479945,0.0146969589711625,-0.3633921975725539
0.0297103551471174,0.0180465463198147,-0.1809722021495048
0.0196913348554433,0.0125320389546572,-0.1727533726982183
0.0183973633529241,0.0094072029489480,-0.1537894928245111
0.0094244023379428,0.0068907901413184,0.0599224099455060
0.0030472755717226,0.0032486755727754,0.2829473247170303
0.0223570258390729,0.0169492270417769,0.3076550194609248
0.0103060245845361,0.0114959726756778,0.4011360564957745
0.0087300383332070,0.0098880198747999,0.6780068067915725
0.0085214322065806,0.0095540389471990,0.6902451925357784
0.0016425067046882,0.0014683142288992,0.7452097861902806
0.0018421166531048,0.0008725562505824,0.7769332060789642
0.0110795917087071,-0.0019971246273835,0.8590922472745091
0.0091384945812466,-0.0046338988165277,0.8157870241648068
0.0045912198212017,-0.0063016311581792,0.7616695438085778
0.0024968296657453,-0.0037049172813877,0.7820242381904217
0.0068433331656788,-0.0093780113175981,0.5565765365543586
0.0184973954776319,-0.0197763650766278,0.5418747872914085
0.0183571402736364,-0.0185069058445011,0.4214723746624102
0.0047410083927491,-0.0052815888386588,0.2970083834713453
0.0311366914133591,-0.0243775087740711,0.0658415656603809
0.0301736078887905,-0.0201676232058865,-0.0676010851522096
0.0322543027440000,-0.0184207837918506,-0.2016334756184479
0.0348194344358968,-0.0143638471785857,-0.3165715577993577
0.0349453740823582,-0.0158734339841968,-0.3081398531511290
0.0251205016184450,-0.0060802724389062,-0.4802301481903887
0.0403919230276349,-0.0098867395820859,-0.4906246542410671
0.0255751305939268,-0.0046272493308410,-0.5365519862461413
0.0217543235408404,-0.0003943197950276,-0.5852766420810727
0.0219426494944798,-0.0009660528594236,-0.5408106610557596
0.0111476638776126,-0.0004334568448261,-0.5536012071071514
0.0057233869355277,0.0015001545864144,-0.5732462395422839
0.0053524279853214,0.0014382055663740,-0.5434110204676088
0.0019906943705813,0.0002675107362198,-0.4746833020085394
0.0025705162563443,-0.0003250228244642,-0.4515620176354537
0.0008694625238724,-0.0001807600755945,-0.4454427625394757
0.0010057531163936,-0.0012631854406074,-0.4234277504597315
0.0005210641978838,-0.0007700283457730,-0.3820278570548347
0.0002220245936116,-0.0004447864158518,-0.3734887852890085
0.0003732413576431,-0.0009999951184747,-0.3398088542385077
0.0023219221051062,-0.0011453411962713,-0.3129464560556396
0.0016777699082242,-0.0009681724062361,-0.3215838419712241
1.0528370204023050,-0.2105771974838530,0.2237512464601396
1.1003467713559618,-0.2541212806345096,0.1646547856510925
1.1692435113786199,-0.2846643720688589,0.0794980149244419
1.2499077682880311,-0.2860264258627178,-0.0224202359576896
1.3165596003381923,-0.2480285780936611,-0.1161784955073591
1.3448123206941045,-0.1824526863008445,-0.1787772305301368
1.3350749232723915,-0.1134294636155920,-0.2048723931610480
1.3008281490454887,-0.0554686250824206,-0.2083745402709513
1.2612797993117604,-0.0130672510788372,-0.1982372988633245
1.0069661085573933,0.0560187948286998,-0.2097629148276685
0.6838294896526458,0.0821338606754676,-0.2296754726416195
0.3515091221878837,0.0748450120899758,-0.2414904649648189
0.1182438317955350,0.0414690287515318,-0.2462441490509321
0.0370930326905615,-0.0000909852885957,-0.2465481422902459
0.1186453628974981,-0.0417018338325327,-0.2459021227500414
0.3519452584612556,-0.0749824537736943,-0.2411160670573988
0.6841645634979243,-0.0825500879671965,-0.2301763231950301
1.0077611234562269,-0.0567078624671394,-0.2100406638826653
1.2610108186344848,0.0126117584115290,-0.1986691805207327
1.3017418970062751,0.0551802017173066,-0.2091441153948901
1.3346153361409008,0.1127863495886354,-0.2057156824548589
1.3452291461299417,0.1819729546692495,-0.1788147753089175
1.3168111841491923,0.2476026847467880,-0.1162351017744927
1.2502934599520039,0.2857905360739901,-0.0229589980110083
1.1694551081152269,0.2849839832217211,0.0790681255484553
